,text,polarity,favourite_count,retweet_count,created_at
1,Another class show tonight #TommyTiernanShow Unsure on Charlene but Brush Shiels what a great guy as we all know.  He is one of a kind to be sure.,positive,5,0,2022-02-12 23:57:06+00:00
2,"The county needs more people like Tommy and Brush

#TommyTiernanShow https://t.co/gWSrcCE5uY",positive,6,0,2022-02-12 23:55:45+00:00
3,"What age are ya????
Have you ever been examined?
Simple questions make for a great interview 
?#TommyTiernanShow",positive,1,0,2022-02-12 23:47:26+00:00
4,Tommy was almost as good as Croker earlier #GoodSaturday #TommyTiernanShow,positive,1,0,2022-02-12 23:46:54+00:00
5,"#TommyTiernanShow Brush Shields walks out and I say to my self Christ he looks well, how old is he? And Tommy's first question was, how old are u.",neutral,2,0,2022-02-12 23:46:12+00:00
6,"Aby Coulibaly, Long Nights on the #TommyTiernanShow https://t.co/LMSOVDwrmf",neutral,32,2,2022-02-12 23:43:23+00:00
7,"Fantastic interview with @jimmywhite147 on #TommyTiernanShow -open, funny and honest. Jimmy is one of the most natural and exciting snooker players ever. I watched this shot as a kid, I couldn't believe it then and still can't believe it today. A genius 👍🏻 https://t.co/k47JoSxHCX",positive,5,0,2022-02-12 23:38:08+00:00
8,Great interview with @jimmywhite147 on #TommyTiernanShow tonight.,positive,2,0,2022-02-12 23:30:41+00:00
9,#TommyTiernanShow Proves how simple #downtoearthness grounds our company &amp; when we’re grounded we are just like the air we breathe #natural #raw #flowing #TommyTiernanShow,neutral,15,2,2022-02-12 23:29:07+00:00
10,Imagine trying to explain to the woke who @jimmywhite147 is ?#TommyTiernanShow,neutral,0,0,2022-02-12 23:28:20+00:00
11,Can't believe at first i thought it was the actress Brooke Shields who was coming out to be interviewed and was so confused when a man walked out 😂 delighted it ended up being Brush Shiels who I'd never heard of but fell in love with ❤ what a character 😂#TommyTiernanShow,neutral,1,0,2022-02-12 23:28:10+00:00
12,"Great television tonight from #TommyTiernanShow. I miss my father who loved @jimmywhite147. Brush is a living saint, a beautiful guitar wielding mystic and my avatar is of our local castle owned by the same family who own the one in  Charlene’s Glaslough",positive,4,0,2022-02-12 23:24:09+00:00
13,Jimmy White looks better than he did 20 years ago. Tiernan loves his snooker and White responded. Fascinating interview and a fascinating sportsman whose senses are still filled by the game. My late grandmother’s hero. #tommytiernanshow,positive,100,1,2022-02-12 23:19:12+00:00
14,Excellent interview with Jimmy White 👏#TommyTiernanShow,positive,6,0,2022-02-12 23:14:30+00:00
15,Take all of my RTE licence fee and just give it to Tommy Tiernan. Brilliant interviews every single week. Tonight could have been one of his best. #TommyTiernanShow,positive,9,1,2022-02-12 23:13:16+00:00
16,Great interview @jimmywhite147 on the #tommytiernanshow very open and honest 👏 great programme @Tommedian,positive,2,0,2022-02-12 23:11:51+00:00
17,Really liked that @AbyCoulibaly3 song at the end of #TommyTiernanShow,positive,6,1,2022-02-12 23:09:47+00:00
18,"Really entertaining show again tonight...love Tommy's chats with his guests,not interviews,just a chat between two people #TommyTiernanShow.",positive,4,1,2022-02-12 23:09:34+00:00
19,Absolutely loved @AbyCoulibaly3 on #TommyTiernanShow tonight 🔥,positive,4,0,2022-02-12 23:08:48+00:00
20,Brush shiels is as mad as a brush! #TommyTiernanShow,positive,5,0,2022-02-12 23:07:16+00:00
21,I love Brush and his wife Margaret is even lovelier.#TommyTiernanShow,positive,4,0,2022-02-12 23:06:51+00:00
22,"A small bit scary, a lot of happy and awful inspiring, thanks  @BrushShiels #tommytiernanshow",positive,4,0,2022-02-12 23:06:35+00:00
23,"Can you imagine them all together in the Green Room - Tommy, Brush, Charlene and Jimmy. Yaay! 😂  #TommyTiernanShow",positive,9,0,2022-02-12 23:06:29+00:00
24,Song at the end was great. Anybody get the band name?#TommyTiernanShow,positive,7,1,2022-02-12 23:06:25+00:00
25,"Jesus, that was brilliant. #TommyTiernanShow",positive,4,1,2022-02-12 23:06:05+00:00
26,"Another great show, brilliant band too #TommyTiernanShow",positive,4,1,2022-02-12 23:04:40+00:00
27,"All 3 guests tonight were very entertaining. Best show in awhile. Was very boring the last few weeks. Thankfully they had no agenda and were all there for the craic
#TommyTiernanShow",positive,3,1,2022-02-12 23:04:37+00:00
28,musical guest is nice easy listening #TommyTiernanShow,positive,10,1,2022-02-12 23:03:25+00:00
29,Jesus @jimmywhite147 is the business could listen to to him all night #TommyTiernanShow,positive,4,0,2022-02-12 23:03:11+00:00
30,This shallow breathing sounds like the Emperors New Clothes #TommyTiernanShow,negative,1,0,2022-02-12 23:02:11+00:00
31,Brush Shields - I wouldn't know what confidence is - I'm gone way beyond 😂😂 Brilliant #TommyTiernanShow #brushshields,positive,8,1,2022-02-12 23:02:10+00:00
32,#TommyTiernanShow a master of the anecdote on @BBCFOUR4 Peter Utisnov,positive,1,0,2022-02-12 23:01:46+00:00
33,"Fantastic show and what a musical act to finish, brilliant #TommyTiernanShow",positive,18,1,2022-02-12 23:01:29+00:00
34,"Great show ,Brush was always the highlight of the dances in St Dominics ,even got his sheepskin coat stolen in Glenties ,think it was returned great memories and the Memories were a great band too #TommyTiernanShow",positive,11,0,2022-02-12 23:01:10+00:00
35,Big mad oul lad in the pub in Intermission vibes off Brush tonight  #TommyTiernanShow https://t.co/fDlrsJeOAF,neutral,6,0,2022-02-12 23:01:00+00:00
36,What a brilliant voice #TommyTiernanShow,positive,12,1,2022-02-12 23:00:56+00:00
37,"Tommy doesn't care about egos, he asks the questions you want asked #TommyTiernanShow",positive,3,0,2022-02-12 23:00:53+00:00
38,That song is shhhi awful.. it's going to be a long night. #TommyTiernanShow,negative,0,0,2022-02-12 23:00:47+00:00
39,Who the singer? #TommyTiernanShow,neutral,3,0,2022-02-12 23:00:32+00:00
40,Listening to Tommy Brush Shiels is like earwigging 2 lads at the bar. Class. #tommytiernanshow,positive,6,1,2022-02-12 23:00:25+00:00
41,Tommys face sums up how the majority of us are feeling trying to figure out Brush Shiels and what he’s saying 😂#TommyTiernanShow https://t.co/UsJp6EqS9l,neutral,35,1,2022-02-12 23:00:23+00:00
42,i am no more informed as to who this brush shields fellow is but he's cool. is he another sportball guy? musician? i'll have to look him up #TommyTiernanShow,neutral,1,0,2022-02-12 23:00:15+00:00
43,#TommyTiernanShow some people were born lucky some people were born blessed..im lucky I was born blessed. Quote of the day @Tommedian @CookeFred,positive,19,2,2022-02-12 23:00:12+00:00
44,So many great nights in the western Inn at Brush Shields. Were mad times #TommyTiernanShow,positive,1,0,2022-02-12 23:00:08+00:00
45,"At these times when we can be seriously overwhelmed with nothing but negative news stories, master storyteller @Tommedian brings a sheer sense of genuine warmth to his interviewing style, that sadly alot of hosts sorely lack. Can't wait for more....... #TommyTiernanShow",positive,13,1,2022-02-12 23:00:06+00:00
46,"Brush. 'There is great people everywhere'. Fantastic positive comment to finish the show. The word seems to be full of negativity. Nice to finish on a positive 
#TommyTiernanShow",positive,22,1,2022-02-12 22:59:54+00:00
47,If Tommy interviewed someone about paint drying I’d be glued to it  #TommyTiernanShow,positive,21,1,2022-02-12 22:59:42+00:00
48,Charlene Mc Kenna what a fuc#in embarrassment. Off her head on something trying to give a car crash interview while chewing the face off herself #TommyTiernanShow,negative,2,0,2022-02-12 22:59:21+00:00
49,Great episode tonight not a dull moment!! #TommyTiernanShow,positive,14,0,2022-02-12 22:59:06+00:00
50,"#TommyTiernanShow
People are nice",positive,3,1,2022-02-12 22:58:04+00:00
