,text,polarity,favourite_count,retweet_count,created_at,compound,neg,neu,pos,sentiment
1,Another class show tonight  Unsure on Charlene but Brush Shiels what a great guy as we all know.  He is one of a kind to be sure.,positive,5,0,2022-02-12 23:57:06+00:00,0.9287,0.039,0.62,0.341,Positive
2,"The county needs more people like Tommy and Brush

 ://t.co/gWSrcCE5uY",positive,6,0,2022-02-12 23:55:45+00:00,0.4173,0,0.783,0.217,Positive
3,"What age are ya????
Have you ever been examined?
Simple questions make for a great interview 
?",positive,1,0,2022-02-12 23:47:26+00:00,0.7236,0,0.76,0.24,Positive
4,Tommy was almost as good as Croker earlier GoodSaturday ,positive,1,0,2022-02-12 23:46:54+00:00,0.3862,0,0.774,0.226,Positive
5," Brush Shields walks out and I say to my self Christ he looks well, how old is he? And Tommy's first question was, how old are u.",neutral,2,0,2022-02-12 23:46:12+00:00,0.2732,0,0.928,0.072,Positive
6,"Aby Coulibaly, Long Nights on the  ://t.co/LMSOVDwrmf",neutral,32,2,2022-02-12 23:43:23+00:00,0,0,1,0,Neutral
7,"Fantastic interview with @jimmywhite147 on  -open, funny and honest. Jimmy is one of the most natural and exciting snooker players ever. I watched this shot as a kid, I couldn't believe it then and still can't believe it today. A genius 👍🏻 ://t.co/k47JoSxHCX",positive,5,0,2022-02-12 23:38:08+00:00,0.9438,0,0.728,0.272,Positive
8,Great interview with @jimmywhite147 on  tonight.,positive,2,0,2022-02-12 23:30:41+00:00,0.6249,0,0.594,0.406,Positive
9, Proves how simple downtoearthness grounds our company &amp; when we’re grounded we are just like the air we breathe natural raw flowing ,neutral,15,2,2022-02-12 23:29:07+00:00,0.6124,0,0.815,0.185,Positive
10,Imagine trying to explain to the woke who @jimmywhite147 is ?,neutral,0,0,2022-02-12 23:28:20+00:00,0,0,1,0,Neutral
11,Can't believe at first i thought it was the actress Brooke Shields who was coming out to be interviewed and was so confused when a man walked out 😂 delighted it ended up being Brush Shiels who I'd never heard of but fell in love with ❤ what a character 😂,neutral,1,0,2022-02-12 23:28:10+00:00,0.9239,0.077,0.707,0.215,Positive
12,"Great television tonight from . I miss my father who loved @jimmywhite147. Brush is a living saint, a beautiful guitar wielding mystic and my avatar is of our local castle owned by the same family who own the one in  Charlene’s Glaslough",positive,4,0,2022-02-12 23:24:09+00:00,0.9062,0.031,0.738,0.231,Positive
13,Jimmy White looks better than he did 20 years ago. Tiernan loves his snooker and White responded. Fascinating interview and a fascinating sportsman whose senses are still filled by the game. My late grandmother’s hero. ,positive,100,1,2022-02-12 23:19:12+00:00,0.9531,0,0.643,0.357,Positive
14,Excellent interview with Jimmy White 👏,positive,6,0,2022-02-12 23:14:30+00:00,0.5719,0,0.619,0.381,Positive
15,Take all of my RTE licence fee and just give it to Tommy Tiernan. Brilliant interviews every single week. Tonight could have been one of his best. ,positive,9,1,2022-02-12 23:13:16+00:00,0.8402,0,0.765,0.235,Positive
16,Great interview @jimmywhite147 on the  very open and honest 👏 great programme @Tommedian,positive,2,0,2022-02-12 23:11:51+00:00,0.9147,0,0.505,0.495,Positive
17,Really liked that @AbyCoulibaly3 song at the end of ,positive,6,1,2022-02-12 23:09:47+00:00,0.4754,0,0.744,0.256,Positive
18,"Really entertaining show again tonight...love Tommy's chats with his guests,not interviews,just a chat between two people .",positive,4,1,2022-02-12 23:09:34+00:00,0.4927,0,0.834,0.166,Positive
19,Absolutely loved @AbyCoulibaly3 on  tonight 🔥,positive,4,0,2022-02-12 23:08:48+00:00,0.4201,0.207,0.431,0.362,Positive
20,Brush shiels is as mad as a brush! ,positive,5,0,2022-02-12 23:07:16+00:00,-0.5411,0.304,0.696,0,Negative
21,I love Brush and his wife Margaret is even lovelier.,positive,4,0,2022-02-12 23:06:51+00:00,0.6369,0,0.682,0.318,Positive
22,"A small bit scary, a lot of happy and awful inspiring, thanks  @BrushShiels ",positive,4,0,2022-02-12 23:06:35+00:00,0.4939,0.252,0.366,0.382,Positive
23,"Can you imagine them all together in the Green Room - Tommy, Brush, Charlene and Jimmy. Yaay! 😂  ",positive,9,0,2022-02-12 23:06:29+00:00,0.4926,0.07,0.778,0.152,Positive
24,Song at the end was great. Anybody get the band name?,positive,7,1,2022-02-12 23:06:25+00:00,0.6249,0,0.709,0.291,Positive
25,"Jesus, that was brilliant. ",positive,4,1,2022-02-12 23:06:05+00:00,0.5859,0,0.513,0.487,Positive
26,"Another great show, brilliant band too ",positive,4,1,2022-02-12 23:04:40+00:00,0.836,0,0.388,0.612,Positive
27,"All 3 guests tonight were very entertaining. Best show in awhile. Was very boring the last few weeks. Thankfully they had no agenda and were all there for the craic
",positive,3,1,2022-02-12 23:04:37+00:00,0.7703,0.116,0.63,0.254,Positive
28,musical guest is nice easy listening ,positive,10,1,2022-02-12 23:03:25+00:00,0.6908,0,0.467,0.533,Positive
29,Jesus @jimmywhite147 is the business could listen to to him all night ,positive,4,0,2022-02-12 23:03:11+00:00,0,0,1,0,Neutral
30,This shallow breathing sounds like the Emperors New Clothes ,negative,1,0,2022-02-12 23:02:11+00:00,0.3612,0,0.783,0.217,Positive
31,Brush Shields - I wouldn't know what confidence is - I'm gone way beyond 😂😂 Brilliant  brushshields,positive,8,1,2022-02-12 23:02:10+00:00,0.7844,0.167,0.54,0.293,Positive
32, a master of the anecdote on @BBCFOUR4 Peter Utisnov,positive,1,0,2022-02-12 23:01:46+00:00,0,0,1,0,Neutral
33,"Fantastic show and what a musical act to finish, brilliant ",positive,18,1,2022-02-12 23:01:29+00:00,0.8126,0,0.549,0.451,Positive
34,"Great show ,Brush was always the highlight of the dances in St Dominics ,even got his sheepskin coat stolen in Glenties ,think it was returned great memories and the Memories were a great band too ",positive,11,0,2022-02-12 23:01:10+00:00,0.91,0.065,0.634,0.301,Positive
35,Big mad oul lad in the pub in Intermission vibes off Brush tonight   ://t.co/fDlrsJeOAF,neutral,6,0,2022-02-12 23:01:00+00:00,-0.4939,0.186,0.814,0,Negative
36,What a brilliant voice ,positive,12,1,2022-02-12 23:00:56+00:00,0.5859,0,0.513,0.487,Positive
37,"Tommy doesn't care about egos, he asks the questions you want asked ",positive,3,0,2022-02-12 23:00:53+00:00,-0.3244,0.176,0.737,0.087,Negative
38,That song is shhhi awful.. it's going to be a long night. ,negative,0,0,2022-02-12 23:00:47+00:00,-0.4588,0.2,0.8,0,Negative
39,Who the singer? ,neutral,3,0,2022-02-12 23:00:32+00:00,0,0,1,0,Neutral
40,Listening to Tommy Brush Shiels is like earwigging 2 lads at the bar. Class. ,positive,6,1,2022-02-12 23:00:25+00:00,0.3612,0,0.848,0.152,Positive
41,Tommys face sums up how the majority of us are feeling trying to figure out Brush Shiels and what he’s saying 😂 ://t.co/UsJp6EqS9l,neutral,35,1,2022-02-12 23:00:23+00:00,-0.1027,0.067,0.88,0.053,Negative
42,i am no more informed as to who this brush shields fellow is but he's cool. is he another sportball guy? musician? i'll have to look him up ,neutral,1,0,2022-02-12 23:00:15+00:00,0.4039,0.05,0.846,0.104,Positive
43, some people were born lucky some people were born blessed..im lucky I was born blessed. Quote of the day @Tommedian @CookeFred,positive,19,2,2022-02-12 23:00:12+00:00,0.8591,0,0.667,0.333,Positive
44,So many great nights in the western Inn at Brush Shields. Were mad times ,positive,1,0,2022-02-12 23:00:08+00:00,0.2911,0.156,0.632,0.213,Positive
45,"At these times when we can be seriously overwhelmed with nothing but negative news stories, master storyteller @Tommedian brings a sheer sense of genuine warmth to his interviewing style, that sadly alot of hosts sorely lack. Can't wait for more....... ",positive,13,1,2022-02-12 23:00:06+00:00,0.2725,0.154,0.672,0.175,Positive
46,"Brush. 'There is great people everywhere'. Fantastic positive comment to finish the show. The word seems to be full of negativity. Nice to finish on a positive 
",positive,22,1,2022-02-12 22:59:54+00:00,0.9371,0.077,0.512,0.412,Positive
47,If Tommy interviewed someone about paint drying I’d be glued to it  ,positive,21,1,2022-02-12 22:59:42+00:00,0,0,1,0,Neutral
48,Charlene Mc Kenna what a fucin embarrassment. Off her head on something trying to give a car crash interview while chewing the face off herself ,negative,2,0,2022-02-12 22:59:21+00:00,-0.6808,0.189,0.811,0,Negative
49,Great episode tonight not a dull moment!! ,positive,14,0,2022-02-12 22:59:06+00:00,0.7871,0,0.464,0.536,Positive
50,"
People are nice",positive,3,1,2022-02-12 22:58:04+00:00,0.4215,0,0.517,0.483,Positive
51,If you enjoyed the  tonight don't forget to check out Tommy with Hector &amp; Laurita on the THL Podcast every Monday and Thursday! ://t.co/SZpLFtLQJg ://t.co/ZxOlaTJbTr,neutral,15,1,2022-02-12 22:57:51+00:00,0.6437,0,0.82,0.18,Positive
52,"The  is such an exercise in empathy. Revealing the stories behind the people we think we know elicits such understanding and compassion. 
Best show on TV",positive,41,1,2022-02-12 22:57:50+00:00,0.802,0,0.776,0.224,Positive
53,"Isnt Brush just brilliant! If we had his type of attitude &amp; outlook on life, we wouldnt be half as bad! ",positive,21,0,2022-02-12 22:57:18+00:00,-0.7996,0.264,0.736,0,Negative
54,"Not the interview I was expecting with Brush Shiels - but how fascinating and inspiring! After Jimmy W and Charlene McK, this must be one of the best episodes of all ... pure gold",positive,39,2,2022-02-12 22:57:05+00:00,0.948,0,0.681,0.319,Positive
55,"She was very honest 

://t.co/BxE5V1LMZu",neutral,7,0,2022-02-12 22:56:47+00:00,0.5563,0,0.582,0.418,Positive
56,A dose 🙄 ,negative,2,0,2022-02-12 22:56:24+00:00,0,0,1,0,Neutral
57,"@Tommedian ah jaysus, it was going well until rte darling showed up ",negative,2,0,2022-02-12 22:56:19+00:00,0.7096,0,0.651,0.349,Positive
58,"""You need a lot of confidence to be humble.. "" Brush Shiels...

",neutral,18,1,2022-02-12 22:56:06+00:00,0.5106,0,0.784,0.216,Positive
59,Brush is a gas ticket. A breath of fresh air. ,positive,52,0,2022-02-12 22:56:02+00:00,0.3182,0,0.813,0.187,Positive
60,"Tommy to Brush....""have ya ever been examined"". Tommy always asks the questions everyone is thinking!
",neutral,20,0,2022-02-12 22:55:39+00:00,0,0,1,0,Neutral
61,"You need a lot of confidence to be humble.'   Brush Shields quote on  
confidence 
humility",neutral,13,0,2022-02-12 22:55:30+00:00,0.765,0,0.68,0.32,Positive
62,"""I don't have an ego problem, I know I am great""
🤣🤣🤣
Brushshiels 

",positive,18,0,2022-02-12 22:55:27+00:00,0.9001,0.069,0.584,0.348,Positive
63,Have you ever been examined ,neutral,4,0,2022-02-12 22:55:04+00:00,0,0,1,0,Neutral
